iata,name,city,country,latitude,longitude,s
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0,MozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0,MozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,United Kingdom,51.4964,-0.1224,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,United Kingdom,51.4964,-0.1224,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,United Kingdom,51.4964,-0.1224,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
8657,Servicos De Comunicacoes E Multimedia S.A.,,Portugal,38.7139,-9.1394,Ghana
8657,Servicos De Comunicacoes E Multimedia S.A.,,Portugal,38.7139,-9.1394,Ghana
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174,Ghana
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174,Ghana
327947,KNUST,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0,MozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0,MozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0,MozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0,MozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224,GhanaAlgeriaMoroccoTanzaniaMozambiqueSenegalKenyaNigeriaEgyptSA
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
37288,WACREN,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,Bela-Bela,South Africa,-24.8833,28.2833,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,Modimolle,South Africa,-24.7,28.4,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0,Ghana
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
